Method, Mean, Median, Trimean, Min, 95%
Moments 9 : 
Mean, 3.1223, 2.327, 2.497, 0.10248, 8.2398 
Std ,0.3031, 0.2082, 0.216, 0.06332, 0.8146 

Moments 19 : 
Mean, 3.1168, 2.2406, 2.4128, 0.1035, 8.3046 
Std, 0.2558, 0.1917, 0.1957, 0.04437, 0.803 

Edge Moments 9 : 
Mean ,4.2888 2.8697, 3.2087, 0.10756, 12.559 
Std, 0.4413, 0.3572, 0.358, 0.05947, 1.592 

Edge Moments 19 : 
Mean, 4.0257, 2.6207, 2.8553, 0.11347 ,10.846 
Std, 0.4766, 0.1801, 0.1708 ,0.04805 ,1.639 

Chrome & Bright 8+8 : 
Mean, 2.6748 ,1.9844 ,2.1612 ,0.10099, 7.1816 
Std, 0.1114, 0.1654, 0.1401, 0.05699, 0.6317 

Chrome & Bright & Zeta 8+8 : 
Mean, 2.6638, 1.8621, 2.0786, 0.11163, 7.4178 
Std, 0.1946, 0.1881, 0.1703 ,0.05954 ,0.9013 
