Method,  Mean, Median, Trimean, Min, 95%

9 Color Moments:
Mean,              3.0438 ,   2.3319  ,  2.4697 ,   0.1041 ,   8.0398
Std,               0.1784 ,  0.1858  ,  0.1664 ,   0.0564  ,  0.7278

19 Color Moments:
Mean,              3.0699 ,   2.2154 ,   2.3915   , 0.1132   , 8.3569
Std,               0.1912 ,   0.2046 ,   0.1738   , 0.0526  ,  0.7454

9 Edge Moments:
Mean,              2.9101 ,   2.1110  ,  2.2607 ,   0.1011  ,  8.1200
Std,               0.2239 ,   0.1370   , 0.1362  ,  0.0550  ,  0.9344

19 Edge Moments:
Mean,              3.0785 ,   2.0905  ,  2.2845   , 0.1008 ,   8.5917
Std,               0.2141 ,   0.1722  ,  0.1657  ,  0.0505  ,  1.0458

MeanChrom & Geo(Bright/Chrome):
Mean,              2.6540 ,   1.9726  ,  2.1286 ,   0.0968 ,   7.1112
Std,              0.1672  ,  0.1349  ,  0.1378 ,   0.0527  ,  0.6851

MeanChrom & Geo(Bright/Chrome) & Zeta Tune:
Mean,             2.6031  ,  1.7764 ,   2.0277   , 0.1125 ,   7.1973
Std,               0.1854 ,   0.1547 ,   0.1544 ,   0.0595 ,   0.8006  
